Subject,Feedback,Attempt,problem
66,no hint,5,repeated
67,hint,4,repeated
67,no hint,27,repeated
68,hint,18,repeated
68,no hint,22,repeated
69,hint,5,repeated
69,no hint,5,repeated
70,hint,5,repeated
70,no hint,5,repeated
71,hint,3,repeated
71,no hint,28,repeated
72,hint,1,repeated
72,no hint,9,repeated
73,hint,1,repeated
73,no hint,1,repeated
74,hint,15,repeated
74,no hint,25,repeated
75,hint,0,repeated
75,no hint,2,repeated
76,hint,4,repeated
76,no hint,15,repeated
77,hint,1,repeated
77,no hint,4,repeated
78,hint,2,repeated
78,no hint,22,repeated
79,hint,6,repeated
79,no hint,7,repeated
80,hint,10,repeated
80,no hint,11,repeated
81,hint,2,repeated
81,no hint,2,repeated
82,hint,1,repeated
82,no hint,2,repeated
83,hint,0,repeated
83,no hint,1,repeated
84,hint,59,repeated
84,no hint,63,repeated
85,hint,2,repeated
85,no hint,3,repeated
86,hint,0,repeated
86,no hint,1,repeated
87,hint,3,repeated
87,no hint,3,repeated
88,hint,1,repeated
88,no hint,3,repeated
89,hint,3,repeated
89,no hint,3,repeated
90,hint,0,repeated
90,no hint,2,repeated
91,hint,0,repeated
91,no hint,3,repeated
92,hint,1,repeated
92,no hint,1,repeated
93,hint,7,repeated
93,no hint,8,repeated
94,hint,2,repeated
94,no hint,2,repeated
95,hint,4,repeated
95,no hint,8,repeated
96,hint,0,repeated
96,no hint,9,repeated
97,hint,4,repeated
97,no hint,4,repeated
98,hint,19,repeated
98,no hint,48,repeated
99,hint,1,repeated
99,no hint,8,repeated
100,hint,4,repeated
100,no hint,10,repeated
101,hint,6,repeated
101,no hint,8,repeated
102,hint,1,repeated
102,no hint,1,repeated
103,hint,3,repeated
103,no hint,5,repeated
104,hint,1,repeated
104,no hint,2,repeated
105,hint,4,repeated
105,no hint,29,repeated
106,hint,8,repeated
106,no hint,9,repeated
107,hint,1,repeated
107,no hint,1,repeated
108,hint,1,repeated
108,no hint,1,repeated
109,hint,11,repeated
109,no hint,14,repeated
110,hint,1,repeated
110,no hint,1,repeated
111,hint,14,repeated
111,no hint,22,repeated
112,hint,1,repeated
112,no hint,2,repeated
113,hint,2,repeated
113,no hint,3,repeated
114,hint,0,repeated
114,no hint,1,repeated
115,hint,22,repeated
115,no hint,22,repeated
116,hint,1,repeated
116,no hint,2,repeated
117,hint,3,repeated
117,no hint,21,repeated
118,hint,4,repeated
118,no hint,10,repeated
119,hint,6,repeated
119,no hint,9,repeated
120,hint,2,repeated
120,no hint,2,repeated
121,hint,0,repeated
121,no hint,2,repeated
122,hint,2,repeated
122,no hint,2,repeated
123,hint,2,repeated
123,no hint,5,repeated
124,hint,1,repeated
124,no hint,3,repeated
125,hint,1,repeated
125,no hint,7,repeated
126,hint,1,repeated
126,no hint,2,repeated
127,hint,3,repeated
127,no hint,3,repeated
128,hint,7,repeated
128,no hint,19,repeated
129,hint,4,repeated
129,no hint,6,repeated
130,hint,1,repeated
130,no hint,1,repeated
131,hint,1,repeated
131,no hint,1,repeated
132,hint,0,repeated
132,no hint,11,repeated
133,hint,1,repeated
133,no hint,1,repeated
134,hint,3,repeated
134,no hint,12,repeated
135,hint,0,repeated
135,no hint,3,repeated
136,hint,4,repeated
136,no hint,6,repeated
137,hint,2,repeated
137,no hint,19,repeated
138,hint,1,repeated
138,no hint,9,repeated
139,hint,4,repeated
139,no hint,16,repeated
140,hint,2,repeated
140,no hint,2,repeated
141,hint,5,repeated
141,no hint,10,repeated
142,hint,30,repeated
142,no hint,30,repeated
143,hint,1,repeated
143,no hint,1,repeated
144,hint,0,repeated
144,no hint,3,repeated
145,hint,2,repeated
145,no hint,7,repeated
146,hint,1,repeated
146,no hint,8,repeated
147,hint,3,repeated
147,no hint,3,repeated
148,hint,5,repeated
148,no hint,6,repeated
149,hint,2,repeated
149,no hint,4,repeated
150,hint,13,repeated
150,no hint,13,repeated
151,hint,2,repeated
151,no hint,6,repeated
152,hint,5,repeated
152,no hint,6,repeated
153,hint,2,repeated
153,no hint,2,repeated
154,hint,8,repeated
154,no hint,26,repeated
155,hint,0,repeated
155,no hint,4,repeated
156,hint,8,repeated
156,no hint,39,repeated
157,hint,1,repeated
157,no hint,1,repeated
158,hint,2,repeated
158,no hint,2,repeated
159,hint,3,repeated
159,no hint,56,repeated
160,hint,1,repeated
160,no hint,1,repeated
161,hint,1,repeated
161,no hint,9,repeated
162,hint,1,repeated
162,no hint,2,repeated
163,hint,5,repeated
163,no hint,11,repeated
164,hint,2,repeated
164,no hint,5,repeated
165,hint,1,repeated
165,no hint,21,repeated
166,hint,4,repeated
166,no hint,4,repeated
167,hint,0,repeated
167,no hint,1,repeated
168,hint,1,repeated
168,no hint,34,repeated
169,hint,1,repeated
169,no hint,1,repeated
170,hint,1,repeated
170,no hint,7,repeated
171,hint,2,repeated
171,no hint,4,repeated
172,hint,10,repeated
172,no hint,48,repeated
173,hint,0,repeated
173,no hint,1,repeated
174,hint,6,repeated
174,no hint,16,repeated
175,hint,1,repeated
175,no hint,1,repeated
176,hint,1,repeated
176,no hint,1,repeated
177,hint,6,repeated
177,no hint,18,repeated
178,hint,1,repeated
178,no hint,7,repeated
179,hint,3,repeated
179,no hint,3,repeated
180,hint,1,repeated
180,no hint,2,repeated
181,hint,2,repeated
181,no hint,2,repeated
182,hint,1,repeated
182,no hint,1,repeated
183,hint,7,repeated
183,no hint,9,repeated
184,hint,4,repeated
184,no hint,5,repeated
185,hint,1,repeated
185,no hint,2,repeated
186,hint,3,repeated
186,no hint,4,repeated
187,hint,0,repeated
187,no hint,34,repeated
188,hint,4,repeated
188,no hint,4,repeated
189,hint,1,repeated
189,no hint,1,repeated
190,hint,1,repeated
190,no hint,1,repeated
191,hint,1,repeated
191,no hint,4,repeated
192,hint,1,repeated
192,no hint,1,repeated
193,hint,5,repeated
193,no hint,10,repeated
194,hint,1,repeated
194,no hint,1,repeated
195,hint,1,repeated
195,no hint,1,repeated
196,hint,12,repeated
196,no hint,13,repeated
197,hint,5,repeated
197,no hint,5,repeated
198,hint,0,repeated
198,no hint,1,repeated
199,hint,11,repeated
199,no hint,25,repeated
200,hint,0,repeated
200,no hint,1,repeated
201,hint,0,repeated
201,no hint,34,repeated
202,hint,2,repeated
202,no hint,4,repeated
203,hint,1,repeated
203,no hint,14,repeated
204,hint,1,repeated
204,no hint,2,repeated
205,hint,2,repeated
205,no hint,15,repeated
206,hint,1,repeated
206,no hint,1,repeated
207,hint,1,repeated
207,no hint,4,repeated
208,hint,24,repeated
208,no hint,34,repeated
209,hint,2,repeated
209,no hint,6,repeated
210,hint,1,repeated
210,no hint,1,repeated
211,hint,1,repeated
211,no hint,2,repeated
212,hint,1,repeated
212,no hint,13,repeated
213,hint,3,repeated
213,no hint,11,repeated
214,hint,12,repeated
214,no hint,13,repeated
215,hint,20,repeated
215,no hint,20,repeated
216,hint,4,repeated
216,no hint,8,repeated
217,hint,20,repeated
217,no hint,47,repeated
218,hint,25,repeated
218,no hint,26,repeated
219,hint,1,repeated
219,no hint,1,repeated
220,hint,2,repeated
220,no hint,2,repeated
221,hint,2,repeated
221,no hint,4,repeated
222,hint,0,repeated
222,no hint,2,repeated
223,hint,1,repeated
223,no hint,1,repeated
224,hint,7,repeated
224,no hint,8,repeated
225,hint,4,repeated
225,no hint,18,repeated
226,hint,6,repeated
226,no hint,6,repeated
227,hint,0,repeated
227,no hint,2,repeated
228,hint,18,repeated
228,no hint,18,repeated
229,hint,2,repeated
229,no hint,5,repeated
230,hint,1,repeated
230,no hint,1,repeated
231,hint,7,repeated
231,no hint,7,repeated
232,hint,1,repeated
232,no hint,5,repeated
233,hint,1,repeated
233,no hint,1,repeated
234,hint,7,repeated
234,no hint,7,repeated
235,hint,14,repeated
235,no hint,23,repeated
236,hint,7,repeated
236,no hint,9,repeated
237,hint,4,repeated
237,no hint,5,repeated
238,hint,41,repeated
238,no hint,41,repeated
239,hint,1,repeated
239,no hint,3,repeated
240,hint,4,repeated
240,no hint,19,repeated
241,hint,0,repeated
241,no hint,2,repeated
242,hint,3,repeated
242,no hint,33,repeated
243,hint,29,repeated
243,no hint,29,repeated
244,hint,39,repeated
244,no hint,39,repeated
245,hint,4,repeated
245,no hint,7,repeated
246,hint,3,repeated
246,no hint,44,repeated
247,hint,5,repeated
247,no hint,5,repeated
248,hint,2,repeated
248,no hint,3,repeated
249,hint,1,repeated
249,no hint,2,repeated
250,hint,10,repeated
250,no hint,12,repeated
251,hint,1,repeated
251,no hint,1,repeated
252,hint,1,repeated
252,no hint,1,repeated
253,hint,14,repeated
253,no hint,19,repeated
254,hint,14,repeated
254,no hint,19,repeated
255,hint,10,repeated
255,no hint,20,repeated
256,hint,4,repeated
256,no hint,6,repeated
257,hint,1,repeated
257,no hint,1,repeated
258,hint,1,repeated
258,no hint,1,repeated
259,hint,0,repeated
259,no hint,1,repeated
260,hint,1,repeated
260,no hint,1,repeated
261,hint,5,repeated
261,no hint,5,repeated
262,hint,0,repeated
262,no hint,12,repeated
263,hint,1,repeated
263,no hint,12,repeated
264,hint,1,repeated
264,no hint,1,repeated
265,hint,1,repeated
265,no hint,10,repeated
266,hint,6,repeated
266,no hint,21,repeated
267,hint,9,repeated
267,no hint,11,repeated
268,hint,1,repeated
268,no hint,1,repeated
269,hint,6,repeated
269,no hint,14,repeated
270,hint,6,repeated
270,no hint,6,repeated
271,hint,2,repeated
271,no hint,4,repeated
272,hint,4,repeated
272,no hint,5,repeated
273,hint,3,repeated
273,no hint,41,repeated
274,hint,2,repeated
274,no hint,2,repeated
275,hint,15,repeated
275,no hint,28,repeated
276,hint,1,repeated
276,no hint,9,repeated
277,hint,3,repeated
277,no hint,14,repeated
278,hint,1,repeated
278,no hint,1,repeated
279,hint,13,repeated
279,no hint,13,repeated
280,hint,2,repeated
280,no hint,3,repeated
281,hint,2,repeated
281,no hint,9,repeated
282,hint,2,repeated
282,no hint,2,repeated
283,hint,9,repeated
283,no hint,26,repeated
284,hint,23,repeated
284,no hint,29,repeated
285,hint,0,repeated
285,no hint,1,repeated
286,hint,7,repeated
286,no hint,7,repeated
287,hint,1,repeated
287,no hint,18,repeated
288,hint,3,repeated
288,no hint,3,repeated
289,hint,3,repeated
289,no hint,7,repeated
290,hint,12,repeated
290,no hint,12,repeated
291,hint,0,repeated
291,no hint,4,repeated
292,hint,0,repeated
292,no hint,4,repeated
293,hint,5,repeated
293,no hint,7,repeated
294,hint,3,repeated
294,no hint,4,repeated
295,hint,1,repeated
295,no hint,3,repeated
296,hint,2,repeated
296,no hint,2,repeated
297,hint,8,repeated
297,no hint,16,repeated
298,hint,4,repeated
298,no hint,5,repeated
299,hint,4,repeated
299,no hint,5,repeated
300,hint,8,repeated
300,no hint,8,repeated
301,hint,1,repeated
301,no hint,1,repeated
302,hint,14,repeated
302,no hint,14,repeated
303,hint,4,repeated
303,no hint,26,repeated
304,hint,2,repeated
304,no hint,2,repeated
305,hint,4,repeated
305,no hint,4,repeated
306,hint,1,repeated
306,no hint,1,repeated
307,hint,9,repeated
307,no hint,9,repeated
308,hint,1,repeated
308,no hint,1,repeated
309,hint,31,repeated
309,no hint,32,repeated
310,hint,1,repeated
310,no hint,21,repeated
311,hint,1,repeated
311,no hint,10,repeated
312,hint,2,repeated
312,no hint,2,repeated
313,hint,1,repeated
313,no hint,1,repeated
314,hint,2,repeated
314,no hint,4,repeated
315,hint,2,repeated
315,no hint,2,repeated
316,hint,1,repeated
316,no hint,3,repeated
317,hint,1,repeated
317,no hint,1,repeated
318,hint,3,repeated
318,no hint,3,repeated
319,hint,8,repeated
319,no hint,8,repeated
320,hint,2,repeated
320,no hint,5,repeated
321,hint,1,repeated
321,no hint,1,repeated
322,hint,3,repeated
322,no hint,5,repeated
323,hint,8,repeated
323,no hint,8,repeated
324,hint,5,repeated
324,no hint,5,repeated
325,hint,1,repeated
325,no hint,6,repeated
326,hint,2,repeated
326,no hint,8,repeated
327,hint,7,repeated
327,no hint,10,repeated
328,hint,1,repeated
328,no hint,8,repeated
329,hint,4,repeated
329,no hint,8,repeated
330,hint,4,repeated
330,no hint,4,repeated
331,hint,1,repeated
331,no hint,5,repeated
332,hint,0,repeated
332,no hint,25,repeated
333,hint,5,repeated
333,no hint,33,repeated
334,hint,1,repeated
334,no hint,1,repeated
335,hint,1,repeated
335,no hint,1,repeated
336,hint,0,repeated
336,no hint,4,repeated
337,hint,3,repeated
337,no hint,3,repeated
338,hint,0,repeated
338,no hint,3,repeated
339,hint,1,repeated
339,no hint,1,repeated
340,hint,1,repeated
340,no hint,1,repeated
341,hint,6,repeated
341,no hint,11,repeated
342,hint,33,repeated
342,no hint,35,repeated
343,hint,1,repeated
343,no hint,1,repeated
344,hint,5,repeated
344,no hint,5,repeated
345,hint,2,repeated
345,no hint,2,repeated
346,hint,1,repeated
346,no hint,5,repeated
347,hint,3,repeated
347,no hint,8,repeated
348,hint,1,repeated
348,no hint,3,repeated
349,hint,2,repeated
349,no hint,8,repeated
350,hint,2,repeated
350,no hint,5,repeated
351,hint,12,repeated
351,no hint,14,repeated
352,hint,1,repeated
352,no hint,1,repeated
353,hint,10,repeated
353,no hint,12,repeated
354,hint,1,repeated
354,no hint,2,repeated
355,hint,13,repeated
355,no hint,21,repeated
356,hint,2,repeated
356,no hint,20,repeated
357,hint,1,repeated
357,no hint,2,repeated
358,hint,6,repeated
358,no hint,6,repeated
359,hint,1,repeated
359,no hint,2,repeated
360,hint,2,repeated
360,no hint,3,repeated
361,hint,3,repeated
361,no hint,5,repeated
362,hint,4,repeated
362,no hint,15,repeated
363,hint,1,repeated
363,no hint,1,repeated
364,hint,0,repeated
364,no hint,7,repeated
365,hint,1,repeated
365,no hint,1,repeated
366,hint,27,repeated
366,no hint,27,repeated
367,hint,2,repeated
367,no hint,3,repeated
368,hint,4,repeated
368,no hint,18,repeated
369,hint,0,repeated
369,no hint,1,repeated
370,hint,2,repeated
370,no hint,2,repeated
371,hint,37,repeated
371,no hint,43,repeated
372,hint,13,repeated
372,no hint,20,repeated
373,hint,1,repeated
373,no hint,2,repeated
374,hint,1,repeated
374,no hint,1,repeated
375,hint,0,repeated
375,no hint,2,repeated
376,hint,4,repeated
376,no hint,6,repeated
377,hint,4,repeated
377,no hint,4,repeated
378,hint,2,repeated
378,no hint,7,repeated
379,hint,1,repeated
379,no hint,5,repeated
380,hint,1,repeated
380,no hint,2,repeated
381,hint,4,repeated
381,no hint,7,repeated
382,hint,1,repeated
382,no hint,1,repeated
383,hint,1,repeated
383,no hint,1,repeated
384,hint,3,repeated
384,no hint,14,repeated
385,hint,2,repeated
385,no hint,3,repeated
386,hint,4,repeated
386,no hint,9,repeated
387,hint,8,repeated
387,no hint,8,repeated
388,hint,1,repeated
388,no hint,7,repeated
389,hint,1,repeated
389,no hint,1,repeated
390,hint,3,repeated
390,no hint,3,repeated
391,hint,4,repeated
391,no hint,11,repeated
392,hint,2,repeated
392,no hint,2,repeated
393,hint,5,repeated
393,no hint,5,repeated
394,hint,1,repeated
394,no hint,1,repeated
395,hint,1,repeated
395,no hint,5,repeated
396,hint,6,repeated
396,no hint,6,repeated
397,hint,1,repeated
397,no hint,1,repeated
398,hint,3,repeated
398,no hint,21,repeated
399,hint,4,repeated
399,no hint,6,repeated
400,hint,2,repeated
400,no hint,24,repeated
401,hint,6,repeated
401,no hint,18,repeated
402,hint,1,repeated
402,no hint,1,repeated
403,hint,6,repeated
403,no hint,8,repeated
404,hint,3,repeated
404,no hint,3,repeated
405,hint,0,repeated
405,no hint,6,repeated
406,hint,2,repeated
406,no hint,2,repeated
407,hint,11,repeated
407,no hint,13,repeated
408,hint,1,repeated
408,no hint,1,repeated
409,hint,1,repeated
409,no hint,1,repeated
410,hint,4,repeated
410,no hint,8,repeated
411,hint,1,repeated
411,no hint,1,repeated
412,hint,3,repeated
412,no hint,4,repeated
413,hint,3,repeated
413,no hint,6,repeated
414,hint,1,repeated
414,no hint,1,repeated
415,hint,1,repeated
415,no hint,1,repeated
416,hint,2,repeated
416,no hint,7,repeated
417,hint,1,repeated
417,no hint,3,repeated
418,hint,1,repeated
418,no hint,6,repeated
419,hint,3,repeated
419,no hint,3,repeated
420,hint,1,repeated
420,no hint,1,repeated
421,hint,0,repeated
421,no hint,2,repeated
422,hint,36,repeated
422,no hint,38,repeated
423,hint,2,repeated
423,no hint,2,repeated
424,hint,2,repeated
424,no hint,18,repeated
425,hint,1,repeated
425,no hint,1,repeated
426,hint,32,repeated
426,no hint,32,repeated
427,hint,32,repeated
427,no hint,36,repeated
428,hint,2,repeated
428,no hint,2,repeated
429,hint,0,repeated
429,no hint,4,repeated
430,hint,2,repeated
430,no hint,2,repeated
431,hint,3,repeated
431,no hint,3,repeated
432,hint,0,repeated
432,no hint,2,repeated
433,hint,11,repeated
433,no hint,11,repeated
434,hint,0,repeated
434,no hint,3,repeated
435,hint,15,repeated
435,no hint,23,repeated
436,hint,0,repeated
436,no hint,5,repeated
437,hint,1,repeated
437,no hint,4,repeated
438,hint,5,repeated
438,no hint,9,repeated
439,hint,9,repeated
439,no hint,21,repeated
440,hint,3,repeated
440,no hint,3,repeated
441,hint,2,repeated
441,no hint,2,repeated
442,hint,1,repeated
442,no hint,7,repeated
443,hint,23,repeated
443,no hint,27,repeated
444,hint,5,repeated
444,no hint,5,repeated
445,hint,4,repeated
445,no hint,9,repeated
446,hint,7,repeated
446,no hint,7,repeated
447,hint,4,repeated
447,no hint,13,repeated
448,hint,3,repeated
448,no hint,8,repeated
449,hint,15,repeated
449,no hint,17,repeated
450,hint,4,repeated
450,no hint,4,repeated
451,hint,6,repeated
451,no hint,7,repeated
452,hint,3,repeated
452,no hint,3,repeated
453,hint,2,repeated
453,no hint,2,repeated
454,hint,21,repeated
454,no hint,32,repeated
455,hint,10,repeated
455,no hint,30,repeated
456,hint,19,repeated
456,no hint,21,repeated
457,hint,18,repeated
457,no hint,18,repeated
458,hint,1,repeated
458,no hint,4,repeated
459,hint,1,repeated
459,no hint,1,repeated
460,hint,0,repeated
460,no hint,6,repeated
461,hint,7,repeated
461,no hint,14,repeated
462,hint,1,repeated
462,no hint,24,repeated
463,hint,2,repeated
463,no hint,3,repeated
464,hint,1,repeated
464,no hint,13,repeated
465,hint,2,repeated
465,no hint,2,repeated
466,hint,5,repeated
466,no hint,7,repeated
467,hint,27,repeated
467,no hint,30,repeated
468,hint,1,repeated
468,no hint,3,repeated
469,hint,29,repeated
469,no hint,29,repeated
470,hint,2,repeated
470,no hint,3,repeated
471,hint,26,repeated
471,no hint,26,repeated
472,hint,3,repeated
472,no hint,3,repeated
473,hint,10,repeated
473,no hint,10,repeated
474,hint,1,repeated
474,no hint,12,repeated
475,hint,1,repeated
475,no hint,3,repeated
476,hint,1,repeated
476,no hint,1,repeated
477,hint,24,repeated
477,no hint,66,repeated
478,hint,1,repeated
478,no hint,1,repeated
479,hint,1,repeated
479,no hint,3,repeated
480,hint,6,repeated
480,no hint,8,repeated
481,hint,6,repeated
481,no hint,7,repeated
482,hint,21,repeated
482,no hint,40,repeated
483,hint,1,repeated
483,no hint,1,repeated
484,hint,0,repeated
484,no hint,12,repeated
485,hint,2,repeated
485,no hint,18,repeated
486,hint,23,repeated
486,no hint,23,repeated
487,hint,2,repeated
487,no hint,4,repeated
488,hint,1,repeated
488,no hint,1,repeated
489,hint,3,repeated
489,no hint,3,repeated
490,hint,6,repeated
490,no hint,6,repeated
491,hint,3,repeated
491,no hint,3,repeated
492,hint,21,repeated
492,no hint,35,repeated
493,hint,51,repeated
493,no hint,52,repeated
494,hint,1,repeated
494,no hint,2,repeated
495,hint,0,repeated
495,no hint,12,repeated
496,hint,3,repeated
496,no hint,7,repeated
497,hint,10,repeated
497,no hint,15,repeated
498,hint,0,repeated
498,no hint,3,repeated
499,hint,3,repeated
499,no hint,9,repeated
500,hint,0,repeated
500,no hint,1,repeated
501,hint,4,repeated
501,no hint,6,repeated
502,hint,3,repeated
502,no hint,3,repeated
503,hint,37,repeated
503,no hint,43,repeated
504,hint,2,repeated
504,no hint,3,repeated
505,hint,2,repeated
505,no hint,2,repeated
506,hint,7,repeated
506,no hint,17,repeated
507,hint,1,repeated
507,no hint,9,repeated
508,hint,1,repeated
508,no hint,1,repeated
509,hint,2,repeated
509,no hint,3,repeated
510,hint,5,repeated
510,no hint,5,repeated
511,hint,2,repeated
511,no hint,8,repeated
512,hint,1,repeated
512,no hint,4,repeated
513,hint,3,repeated
513,no hint,3,repeated
514,hint,1,repeated
514,no hint,1,repeated
515,hint,1,repeated
515,no hint,1,repeated
516,hint,5,repeated
516,no hint,6,repeated
517,hint,1,repeated
517,no hint,1,repeated
518,hint,5,repeated
518,no hint,6,repeated
519,hint,6,repeated
519,no hint,6,repeated
520,hint,2,repeated
520,no hint,2,repeated
521,hint,0,repeated
521,no hint,7,repeated
522,hint,3,repeated
522,no hint,3,repeated
523,hint,1,repeated
523,no hint,6,repeated
524,hint,1,repeated
524,no hint,1,repeated
525,hint,2,repeated
525,no hint,2,repeated
526,hint,7,repeated
526,no hint,7,repeated
527,hint,5,repeated
527,no hint,5,repeated
528,hint,0,repeated
528,no hint,2,repeated
529,hint,0,repeated
529,no hint,17,repeated
530,hint,1,repeated
530,no hint,1,repeated
531,hint,1,repeated
531,no hint,12,repeated
532,hint,23,repeated
532,no hint,23,repeated
533,hint,1,repeated
533,no hint,1,repeated
534,hint,37,repeated
534,no hint,40,repeated
535,hint,2,repeated
535,no hint,3,repeated
536,hint,13,repeated
536,no hint,13,repeated
537,hint,5,repeated
537,no hint,5,repeated
538,hint,7,repeated
538,no hint,14,repeated
539,hint,1,repeated
539,no hint,1,repeated
540,hint,1,repeated
540,no hint,7,repeated
541,hint,0,repeated
541,no hint,4,repeated
542,hint,43,repeated
542,no hint,54,repeated
543,hint,5,repeated
543,no hint,23,repeated
544,hint,1,repeated
544,no hint,16,repeated
545,hint,1,repeated
545,no hint,3,repeated
546,hint,2,repeated
546,no hint,4,repeated
547,hint,2,repeated
547,no hint,3,repeated
548,hint,10,repeated
548,no hint,17,repeated
549,hint,12,repeated
549,no hint,12,repeated
550,hint,4,repeated
550,no hint,4,repeated
551,hint,3,repeated
551,no hint,3,repeated
552,hint,2,repeated
552,no hint,2,repeated
553,hint,1,repeated
553,no hint,1,repeated
554,hint,2,repeated
554,no hint,2,repeated
555,hint,3,repeated
555,no hint,3,repeated
556,hint,0,repeated
556,no hint,1,repeated
557,hint,5,repeated
557,no hint,13,repeated
558,hint,9,repeated
558,no hint,9,repeated
559,hint,4,repeated
559,no hint,8,repeated
560,hint,11,repeated
560,no hint,11,repeated
561,hint,10,repeated
561,no hint,11,repeated
562,hint,0,repeated
562,no hint,8,repeated
563,hint,30,repeated
563,no hint,30,repeated
564,hint,2,repeated
564,no hint,9,repeated
565,hint,3,repeated
565,no hint,15,repeated
566,hint,1,repeated
566,no hint,1,repeated
567,hint,1,repeated
567,no hint,1,repeated
568,hint,2,repeated
568,no hint,4,repeated
569,hint,2,repeated
569,no hint,4,repeated
570,hint,2,repeated
570,no hint,2,repeated
571,hint,8,repeated
571,no hint,10,repeated
572,hint,1,repeated
572,no hint,1,repeated
573,hint,1,repeated
573,no hint,6,repeated
574,hint,1,repeated
574,no hint,1,repeated
575,hint,1,repeated
575,no hint,2,repeated
576,hint,0,repeated
576,no hint,2,repeated
577,hint,4,repeated
577,no hint,4,repeated
578,hint,5,repeated
578,no hint,9,repeated
579,hint,1,repeated
579,no hint,1,repeated
580,hint,1,repeated
580,no hint,11,repeated
581,hint,0,repeated
581,no hint,1,repeated
582,hint,4,repeated
582,no hint,13,repeated
583,hint,4,repeated
583,no hint,7,repeated
584,hint,1,repeated
584,no hint,1,repeated
585,hint,3,repeated
585,no hint,12,repeated
586,hint,2,repeated
586,no hint,2,repeated
587,hint,6,repeated
587,no hint,15,repeated
588,hint,1,repeated
588,no hint,1,repeated
589,hint,1,repeated
589,no hint,6,repeated
590,hint,18,repeated
590,no hint,22,repeated
591,hint,5,repeated
591,no hint,5,repeated
592,hint,0,repeated
592,no hint,5,repeated
593,hint,6,repeated
593,no hint,8,repeated
594,hint,6,repeated
594,no hint,6,repeated
595,hint,1,repeated
595,no hint,2,repeated
596,hint,1,repeated
596,no hint,1,repeated
597,hint,0,repeated
597,no hint,12,repeated
598,hint,3,repeated
598,no hint,4,repeated
599,hint,1,repeated
599,no hint,2,repeated
600,hint,1,repeated
600,no hint,2,repeated
601,hint,1,repeated
601,no hint,4,repeated
602,hint,1,repeated
602,no hint,1,repeated
603,hint,3,repeated
603,no hint,7,repeated
604,hint,1,repeated
604,no hint,1,repeated
605,hint,0,repeated
605,no hint,4,repeated
606,hint,1,repeated
606,no hint,3,repeated
607,hint,2,repeated
607,no hint,2,repeated
